i,Attribute Name,Contents,Type,Format,Range,Required,PK or FK,FK Referencd Table
ASSET,asset_id,ID ของครุภัณฑ์,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,PK,
,noid,,VARCHAR(30),xxxxxxxxxx,NA,,,
,name,ชื่อของครุภัณฑ์,VARCHAR(100),xxxxxxxxxx,NA,Y,,
,model,รุ่นของครุภัณฑ์,VARCHAR(100),xxxxxxxxxx,NA,Y,,
,serial_no,เลขประจำเครื่องครุภัณฑ์,VARCHAR(30),xxxxxxxxxx,NA,,,
,gmdn,,VARCHAR(30),xxxxxxxxxx,NA,,,
,type_id,ID ของประเภทครุภัณฑ์,INTEGER,###,NA,Y,FK,ASSET_TYPE
,section_id,ID ของหน่วยงาน,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,FK,SECTION
,company_id,ID ของบริษัท,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,FK,COMPANY
,order_id,ID ของคำสั่งซื้อ,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,FK,
,asset_status_id,ID ของสถานะครุภัณฑ์,INTEGER,###,NA,Y,FK,ASSET_STATUS
,availability_status_id,ID ของสถานะการใช้งานครุภัณฑ์,INTEGER,###,NA,,FK,AVAILABILITY_STATUS
,receive_date,วันที่นำครุภัณฑ์เข้าคลัง,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,price,ราคาของครุภัณฑ์,"NUMERIC(15, 2)",#######.##,00.00-9999999.99,Y,,
,disposal_approve,วันที่อนุมัติจำหน่าย,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,,,
,warranty_date,วันที่หมดประกันของครุภัณฑ์,VARCHAR(30),xxxxxxxxxx,NA,,,
,risk_level,,INTEGER,#,,,,
,is_medical_device,เป็นเครื่องมือทางการแพทย์หรือไม่,Boolean,xxxx,True or False,Y,,
,remark,หมายเหตุ,TEXT,xxxxxxxxxx,NA,,,
,image_url,ลิ้งของรูปภาพ,TEXT,xxxxxxxxxx,NA,Y,,
,createdAt,วันเวลาที่เพิ่มข้อมูลเข้าระบบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,createdBy(user_id),ผู้ที่เพิ่มข้อมูลเข้าระบบ,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,FK,USER
,updatedAt,วันเวลาที่แก้ไขข้อมูลล่าสุด,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,updateBy(user_id),ผู้ที่แก้ไขข้อมูลล่าสุด,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,FK,USER
,,,,,,,,
ASSET_TYPE,type_id,ID ของประเภทครุภัณฑ์,INTEGER,###,NA,Y,PK,
,name,ชื่อของประเภทครุภัณฑ์,VARCHAR(100),xxxxxxxxxx,NA,Y,,
,useful_life,,INTEGER,###,NA,Y,,
,createdAt,วันเวลาที่เพิ่มข้อมูลเข้าระบบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
